Commit Hash,Commit Date,Commit Message,Commit Class,Known Perf. Loss,Notes
https://github.com/torvalds/linux/commit/82cd4bacff88a11e36f143e2cb950174b09c86c3,"Apr 25, 2022",Drivers: hv: vmbus: Fix handling of messages with transaction ID of zero,Add checks,,
https://github.com/torvalds/linux/commit/9f8b577f7b43b2170628d6c537252785dcc2dcea,"Mar 29, 2022",Drivers: hv: vmbus: Deactivate sysctl_record_panic_msg by default in isolated guests,Restrict features,,
https://github.com/torvalds/linux/commit/96d9d1fa5cd505078534113308ced0aa56d8da58,"Jan 23, 2022",Drivers: hv: balloon: account for vmbus packet header in max_pkt_size,Amend Fix,,
https://github.com/torvalds/linux/commit/6a27e396ebb149fc47baccc1957a7a9dd70049a7,"January 5, 2022",Drivers: hv: vmbus: Initialize request offers message for Isolation VM,Add Initializations,,
https://github.com/torvalds/linux/commit/9a8797722e4239242d0cb4cc4baa805df6ac979e,"Oct 28, 2021",Drivers: hv: vmbus: Initialize VMbus ring buffer for Isolation VM,Add Initializations,,
https://github.com/torvalds/linux/commit/9d68cd9120e4e3af38f843e165631c323b86b4e4,"Aug 25, 2021",hv_utils: Set the maximum packet size for VSS driver to the length of the receive buffer,Amend Fix,,
https://github.com/torvalds/linux/commit/adae1e931acd8b430d31141a283ea06d4b705417,"May 14, 2021",Drivers: hv: vmbus: Copy packets sent by Hyper-V out of the ring buffer,Add copy,,Seems to be a rework of the previous reverted copy.
https://github.com/torvalds/linux/commit/8c2d5e0640e53c14b6240e9bf1e32a2226e6e6ca,"Apr 20, 2021",Drivers: hv: vmbus: Initialize unload_event statically,Add Initializations,,
https://github.com/torvalds/linux/commit/3019270282a175defc02c8331786c73e082cd2a8,"Feb 15, 2021","Revert ""Drivers: hv: vmbus: Copy packets sent by Hyper-V out of the ring buffer""",Amend Fix,,
https://github.com/torvalds/linux/commit/96854bbda24febe2cc9231e1f6ffbd3059dc57fc,"Feb 11, 2021",hv_netvsc: Restrict configurations on isolated guests,Restrict features,,
https://github.com/torvalds/linux/commit/7ef4b2f0d9adb73eb66e1f87f22953169c3dc7f8,"Feb 11, 2021",Drivers: hv: vmbus: Enforce 'VMBus version >= 5.2' on isolated guests ,Restrict features,,
https://github.com/torvalds/linux/commit/21a4e356d3588806307555c149b80cec3dedb180,"Feb 11, 2021",Drivers: hv: vmbus: Restrict vmbus_devices on isolated guests,Restrict features,,
https://github.com/torvalds/linux/commit/e4d221b42354b2e2ddb9187a806afb651eee2cda,"Feb 5, 2021",Drivers: hv: vmbus: Resolve race condition in vmbus_onoffer_rescind() ,Timing / Race Hardening,,
https://github.com/torvalds/linux/commit/e3fa4b747f085d2cda09bba0533b86fa76038635,"Feb 5, 2021",Drivers: hv: vmbus: Avoid use-after-free in vmbus_onoffer_rescind() ,Timing / Race Hardening,,
https://github.com/torvalds/linux/commit/fe8c1b18a27de4d6ca5d99b3ffb3125dc69a5b76,"Feb 5, 2021",Drivers: hv: vmbus: Copy the hv_message in vmbus_on_msg_dpc() ,Add copy,,
https://github.com/torvalds/linux/commit/e99c4afbee07e9323e9191a20b24d74dbf815bdf,"Feb 5, 2021",Drivers: hv: vmbus: Initialize memory to be sent to the host,Add Initializations,,
https://github.com/torvalds/linux/commit/06caa778d8b2fbcb4ac3878751e39d116424ba9b,"Feb 5, 2021",hv_utils: Add validation for untrusted Hyper-V values,Add checks,,
https://github.com/torvalds/linux/commit/a8c3209998afb5c4941b49e35b513cea9050cb4a,"Feb 5, 2021",Drivers: hv: vmbus: Copy packets sent by Hyper-V out of the ring buffer,Add copy,,
https://github.com/torvalds/linux/commit/0102eeedb71757d6589144cf019424f69b3ab289,"Feb 5, 2021",hv_netvsc: Allocate the recv_buf buffers after NVSP_MSG1_TYPE_SEND_RECV_BUF ,Timing / Race Hardening,,
https://github.com/torvalds/linux/commit/12bc8dfb83b5292fe387b795210018b7632ee08b,"Feb 5, 2021",hv_netvsc: Reset the RSC count if NVSP_STAT_FAIL in netvsc_receive() ,Amend Fix,,
https://github.com/torvalds/linux/commit/0ba35fe91ce34f2d0feff626efd0062dac41781c,"Jan 30, 2021",hv_netvsc: Copy packets sent by Hyper-V out of the receive buffer,Add copy,,
https://github.com/torvalds/linux/commit/505e3f00c3f3648cb6260deb35e87fae1f64f5d8,"Nov 24, 2020",hv_netvsc: Add (more) validation for untrusted Hyper-V values,Add checks + Initialize,,
https://github.com/torvalds/linux/commit/206ad34d52a2f1205c84d08c12fc116aad0eb407,"Nov 19, 2020",hv_netvsc: Validate number of allocated sub-channels,Add checks,,
https://github.com/torvalds/linux/commit/4d18fcc95f50950a99bd940d4e61a983f91d267a,"Nov 17, 2020",hv_netvsc: Use vmbus_requestor to generate transaction IDs for VMBus hardening,Redesign,,
https://github.com/torvalds/linux/commit/e8b7db38449ac5b950a3f00519171c4be3e226ff,"Nov 17, 2020",Drivers: hv: vmbus: Add vmbus_requestor data structure for VMBus hardening,Redesign,,
https://github.com/torvalds/linux/commit/44144185951a0ff9b50bf21c0cd1f79ff688e5ca,"Sep 18, 2020",hv_netvsc: Add validation for untrusted Hyper-V values,Add checks,,
https://github.com/torvalds/linux/commit/52c7803f9bd4b1f0ac6e2e3e6051415198cc06bd,"Apr 23, 2020",Drivers: hv: check VMBus messages lengths ,Add checks,,
