Commit Hash,Commit Date,Commit Message,Commit Class,Known Perf. Loss,Notes
https://github.com/torvalds/linux/commit/020e1aede7ee,"Aug 11, 2022",virtio_pmem: initialize provider_data through nd_region_desc,Timing / Race Hardening & Initialization,,Mentioned by Jason Wang per e-mail
https://github.com/torvalds/linux/commit/5d66322b2b23,"Aug 11, 2022",virtio_pmem: set device ready in probe(),Timing / Race Hardening,,Mentioned by Jason Wang per e-mail
https://github.com/torvalds/linux/commit/ebe797f25f68f28581f46a9cb9c1997ac15c39a0,"Aug 11, 2022",virtio: VIRTIO_HARDEN_NOTIFICATION is broken ,Amend Fix,,"Fully marks ""virtio: harden vring IRQ"" as BROKEN without reverting it. Reason why it doesn't work: the broader ecosystem of drivers doesn't work properly with the redesign."
https://github.com/torvalds/linux/commit/5a159128faff,"Jul 27, 2022",virtio-net: fix the race between refill work and close,Timing / Race Hardening,,Mentioned by Jason Wang per e-mail
https://github.com/torvalds/linux/commit/11a37eb66812,"Jun 27, 2022",caif_virtio: fix race between virtio_device_ready() and ndo_open(),Timing / Race Hardening,,Mentioned by Jason Wang per e-mail
https://github.com/torvalds/linux/commit/50c0ada627f5,"Jun 27, 2022",virtio-net: fix race between ndo_open() and virtio_device_ready(),Timing / Race Hardening,,Mentioned by Jason Wang per e-mail
https://github.com/torvalds/linux/commit/c346dae4f3fbce51bbd4f2ec5e8c6f9b91e93163,"Jun 24, 2022",virtio: disable notification hardening by default ,Amend Fix,,"Disables ""virtio: harden vring IRQ"""
https://github.com/torvalds/linux/commit/a7722890fdfb2aaeb6b02d68bb0f1e411e58d539,"Jun 24, 2022",virtio_ring : keep used_wrap_counter in vq->last_used_idx,Timing / Race Hardening,,
https://github.com/torvalds/linux/commit/8b4ec69d7e098a7ddf832e1e7840de53ed474c77,"May 31, 2022",virtio: harden vring IRQ,Timing / Race Hardening & Redesign,,Rework of MSI-X and INTX broken hardening attempts
https://github.com/torvalds/linux/commit/eb4cecb453a19b34d5454b49532e09e9cb0c1529,"Mar 28, 2022","Revert ""virtio_pci: harden MSI-X interrupts"" ",Amend Fix,,
https://github.com/torvalds/linux/commit/7b79edfb862d6b1ecc66479419ae67a7db2d02e3,"Mar 28, 2022","Revert ""virtio-pci: harden INTX interrupts""",Amend Fix,,
https://github.com/torvalds/linux/commit/30c22f3816ffef8aa21a000e93c4ee1402a6ea65,"Mar 4, 2022",vdpa/mlx5: should verify CTRL_VQ feature exists for MQ,Add checks,,Not strictly a virtio patch but fits in the broader rework
https://github.com/torvalds/linux/commit/ed0f849fc3a63ed2ddf5e72cdb1de3bdbbb0f8eb,"Mar 4, 2022",vdpa/mlx5: add validation for VIRTIO_NET_CTRL_MQ_VQ_PAIRS_SET command,Add checks,,Not strictly a virtio patch but fits in the broader rework
https://github.com/torvalds/linux/commit/fcfb65f8a922c7dd25a2e9913601dae979ce6560,"Nov 25, 2021","Revert ""virtio-net: don't let virtio core to validate used length""",Amend Fix,,"consequence of Revert ""virtio_ring: validate used buffer length"""
https://github.com/torvalds/linux/commit/6318cb887548c70778d10c0fcb7134b4454ab8a6,"Nov 25, 2021","Revert ""virtio-scsi: don't let virtio core to validate used buffer length""",Amend Fix,,"consequence of Revert ""virtio_ring: validate used buffer length"""
https://github.com/torvalds/linux/commit/2b17d9f84884a37f1324be5526c6600e97a47fbe,"Nov 25, 2021","Revert ""virtio-blk: don't let virtio core to validate used length""",Amend Fix,,"consequence of Revert ""virtio_ring: validate used buffer length"""
https://github.com/torvalds/linux/commit/f124034faa911ed534bf8c4881ad98dbbde2a966,"Nov 25, 2021","Revert ""virtio_ring: validate used buffer length""",Amend Fix,,reasons for revert: https://www.spinics.net/lists/kernel/msg4154218.html Hypervisor and devices are not ready for this
